No,id,nama_wisata,kategori,kabupaten,Before,After,PlaceType,Status,QC,Alasan
15,batu-kapal-park,"Batu Kapal Park","Lainnya","Bantul","Batu Kapal Park menawarkan suasana wisata air dengan aliran alami, pepohonan, dan ruang rekreasi yang cocok untuk bersantai.","Batu Kapal Park merupakan taman wisata di Bantul dengan suasana alam yang cocok untuk rekreasi.","taman","CHANGED","PASS",""
16,randusari-falls,"Randusari Falls","Air Terjun","Bantul","Randusari Falls menyajikan aliran air alami, tebing, dan suasana sejuk yang cocok untuk rekreasi alam.","Randusari Falls merupakan destinasi air terjun di Bantul dengan suasana alam yang segar.","air terjun","CHANGED","PASS",""
17,gua-cerme,"Gua Cerme","Goa","Bantul","Gua Cerme merupakan wisata goa dengan karakter karst, lorong alami, dan pengalaman petualangan yang menarik.","Gua Cerme merupakan destinasi goa di Bantul dengan suasana petualangan alam yang khas.","goa","CHANGED","PASS",""
18,penawangan-srunggo-cascade,"Penawangan Srunggo Cascade","Air Terjun","Bantul","Penawangan Srunggo Cascade menyajikan aliran air alami, tebing, dan suasana sejuk yang cocok untuk rekreasi alam.","Penawangan Srunggo Cascade merupakan destinasi air terjun di Bantul dengan suasana alam yang segar.","air terjun","CHANGED","PASS",""
19,sendang-ngembel,"Sendang Ngembel","Air Terjun","Bantul","Sendang Ngembel menyajikan aliran air alami, tebing, dan suasana sejuk yang cocok untuk rekreasi alam.","Sendang Ngembel merupakan destinasi air terjun di Bantul dengan suasana alam yang segar.","air terjun","CHANGED","PASS",""
20,curug-banyunibo,"Curug Banyunibo","Air Terjun","Bantul","Curug Banyunibo menyajikan aliran air alami, tebing, dan suasana sejuk yang cocok untuk rekreasi alam.","Curug Banyunibo merupakan destinasi air terjun di Bantul dengan suasana alam yang segar.","air terjun","CHANGED","PASS",""
21,goa-selarong,"Goa Selarong","Air Terjun","Bantul","Goa Selarong merupakan wisata goa dengan karakter karst, lorong alami, dan pengalaman petualangan yang menarik.","Goa Selarong merupakan destinasi goa di Bantul dengan suasana petualangan alam yang khas.","goa","CHANGED","PASS",""
22,kedung-pengilon,"Kedung Pengilon","Air Terjun","Bantul","Kedung Pengilon menyajikan aliran air alami, tebing, dan suasana sejuk yang cocok untuk rekreasi alam.","Kedung Pengilon merupakan destinasi air terjun di Bantul dengan suasana alam yang segar.","air terjun","CHANGED","PASS",""
23,putrobayan-river-camp,"Putrobayan River Camp","Lainnya","Bantul","Putrobayan River Camp menawarkan suasana wisata air dengan aliran alami, pepohonan, dan ruang rekreasi yang cocok untuk bersantai.","Putrobayan River Camp merupakan destinasi sungai di Bantul dengan suasana alam yang cocok untuk rekreasi.","sungai","CHANGED","PASS",""
24,lembah-oyo-kedung-jati,"Lembah Oyo, Kedung Jati","Lainnya","Bantul","Lembah Oyo, Kedung Jati menawarkan suasana wisata air dengan aliran alami, pepohonan, dan ruang rekreasi yang cocok untuk bersantai.","Lembah Oyo, Kedung Jati merupakan destinasi lembah di Bantul dengan panorama alam dan suasana terbuka.","lembah","CHANGED","PASS",""
25,kebun-buah-mangunan,"Kebun Buah Mangunan","Bukit","Bantul","Kebun Buah Mangunan menawarkan panorama perbukitan, udara sejuk, dan spot foto alam dari ketinggian.","Kebun Buah Mangunan merupakan destinasi bukit di Bantul dengan panorama alam yang cocok untuk bersantai.","bukit","CHANGED","PASS",""
26,laguna-baros,"Laguna Baros","Pantai","Bantul","Laguna Baros menawarkan panorama pesisir dengan pasir, karang, dan suasana alam khas pantai selatan Yogyakarta.","Laguna Baros merupakan destinasi pantai di Bantul dengan panorama pesisir yang cocok untuk rekreasi.","pantai","CHANGED","PASS",""
27,bukit-lintang-sewu,"Bukit Lintang Sewu","Bukit","Bantul","Bukit Lintang Sewu menawarkan panorama perbukitan, udara sejuk, dan spot foto alam dari ketinggian.","Bukit Lintang Sewu merupakan destinasi bukit di Bantul dengan panorama alam yang cocok untuk bersantai.","bukit","CHANGED","PASS",""
28,goa-pindul,"Goa Pindul","Goa","Gunung Kidul","Goa Pindul adalah gua yang eksotik dengan aliran sungai bawah tanah di Gunungkidul.","Goa Pindul merupakan destinasi goa di Gunung Kidul dengan suasana petualangan alam yang khas.","goa","CHANGED","PASS",""
29,gunung-api-purba-nglanggeran,"Gunung Api Purba Nglanggeran","Bukit","Gunung Kidul","Gunung ini merupakan sebuah gunung api purba yang terbentuk sekitar 60-70 juta tahun yang lalu atau yang memiliki umur tersier (Oligo-Miosen).","Gunung Api Purba Nglanggeran merupakan destinasi bukit di Gunung Kidul dengan panorama alam yang cocok untuk bersantai.","bukit","CHANGED","PASS",""
30,kalisuci-cave-tubing,"Kalisuci Cave Tubing","Goa","Gunung Kidul","Petualangan menyusuri sungai bawah tanah di dalam gua menggunakan ban pelampung.","Kalisuci Cave Tubing merupakan destinasi sungai di Gunung Kidul dengan suasana alam yang cocok untuk rekreasi.","sungai","CHANGED","PASS",""
31,air-terjun-sri-gethuk,"Air Terjun Sri Gethuk","Air Terjun","Gunung Kidul","Air terjun alami yang indah di tengah hutan dan tebing kapur ini merupakan tempat populer untuk berenang.","Air Terjun Sri Gethuk merupakan destinasi air terjun di Gunung Kidul dengan suasana alam yang segar.","air terjun","CHANGED","PASS",""
32,air-terjun-kedung-kandang,"Air Terjun Kedung Kandang","Air Terjun","Gunung Kidul","Alam berupa air terjun musiman dengan undakan tebing vulkanik yang terletak di Desa Nglanggeran, Patuk, Gunungkidul, Yogyakarta.","Air Terjun Kedung Kandang merupakan destinasi air terjun di Gunung Kidul dengan suasana alam yang segar.","air terjun","CHANGED","PASS",""
33,puncak-tugu-batara-sriten,"Puncak Tugu Batara Sriten","Bukit","Gunung Kidul","Lokasi ini terkenal dengan embung buatan (telaga) tertinggi di DIY, pemandangan matahari terbit/terbenam, serta menjadi landasan olahraga paralayang.","Puncak Tugu Batara Sriten merupakan destinasi bukit di Gunung Kidul dengan panorama alam yang cocok untuk bersantai.","bukit","CHANGED","PASS",""
34,goa-tanding,"Goa Tanding","Goa","Gunung Kidul","Gua yang terkenal dengan formasi bebatuan yang memukau, dengan wahana arung jeram di sungai bawah tanah.","Goa Tanding merupakan destinasi goa di Gunung Kidul dengan suasana petualangan alam yang khas.","goa","CHANGED","PASS",""
35,goa-jomblang,"Goa Jomblang","Goa","Gunung Kidul","Gua pembuangan vertikal berbatu yang bisa dieksplorasi menggunakan peralatan caving yang disediakan di lokasi.","Goa Jomblang merupakan destinasi goa di Gunung Kidul dengan suasana petualangan alam yang khas.","goa","CHANGED","PASS",""
36,bukit-paralayang-watugupit,"Bukit Paralayang Watugupit","Bukit","Gunung Kidul","Tempat observasi di puncak bukit yang menghadap Samudera Hindia dan pantai dan titik lepas landas paralayang.","Bukit Paralayang Watugupit merupakan destinasi bukit di Gunung Kidul dengan panorama alam yang cocok untuk bersantai.","bukit","CHANGED","PASS",""
37,bukit-bintang,"Bukit Bintang","Bukit","Gunung Kidul","Bukit yang terkenal dengan pemandangan indah, terutama saat langit malam dipenuhi bintang.","Bukit Bintang merupakan destinasi bukit di Gunung Kidul dengan panorama alam yang cocok untuk bersantai.","bukit","CHANGED","PASS",""
38,goa-gelatik-lorong-sewu,"Goa Gelatik Lorong Sewu","Goa","Gunung Kidul","Goa ini terkenal dengan lorongnya yang ekstrem, gelap, memiliki banyak percabangan (lorong sewu), serta keindahan stalaktit dan stalakmit yang masih alami.","Goa Gelatik Lorong Sewu merupakan destinasi goa di Gunung Kidul dengan suasana petualangan alam yang khas.","goa","CHANGED","PASS",""
39,gunung-gentong,"Gunung Gentong","Bukit","Gunung Kidul","""Bukit wisata alam di Desa Ngalang, Gedangsari, Gunungkidul, Yogyakarta, yang terkenal dengan pemandangan """"negeri di atas awan"""", hamparan perbukitan hijau.""","Gunung Gentong merupakan destinasi bukit di Gunung Kidul dengan panorama alam yang cocok untuk bersantai.","bukit","CHANGED","PASS",""
40,bukit-kosakora,"Bukit Kosakora","Bukit","Gunung Kidul","Tanjung pesisir dan tempat matahari terbenam populer yang menawarkan kemah pedesaan, jalan setapak dan panorama.","Bukit Kosakora merupakan destinasi bukit di Gunung Kidul dengan panorama alam yang cocok untuk bersantai.","bukit","CHANGED","PASS",""
41,goa-ngingrong,"Goa Ngingrong","Goa","Gunung Kidul","Karst berbentuk lembah sinkhole (luweng) yang menawarkan petualangan susur gua, rappelling setinggi 80 meter, flying fox, dan ATV.","Goa Ngingrong merupakan destinasi goa di Gunung Kidul dengan suasana petualangan alam yang khas.","goa","CHANGED","PASS",""
42,bukit-teletubbies,"Bukit Teletubbies","Bukit","Gunung Kidul","Tempat ini menawarkan pemandangan ladang jagung menawan yang menyerupai latar tempat tinggal tokoh kartun Teletubbies, menjadikannya spot foto instagramable yang populer.","Bukit Teletubbies merupakan destinasi bukit di Gunung Kidul dengan panorama alam yang cocok untuk bersantai.","bukit","CHANGED","PASS",""
43,goa-sriti,"Goa Sriti","Goa","Kulon Progo","Goa alami di Perbukitan Menoreh yang masih sepi, memiliki lorong sempit dengan stalaktit-stalagmit, dan cocok untuk wisata petualangan sederhana.","Goa Sriti merupakan destinasi goa di Kulon Progo dengan suasana petualangan alam yang khas.","goa","CHANGED","PASS",""
44,gunung-ijo,"Gunung Ijo","Bukit","Kulon Progo","Perbukitan di kawasan Menoreh yang menawarkan panorama alam hijau dengan pemandangan luas, cocok untuk menikmati sunrise dan suasana tenang.","Gunung Ijo merupakan destinasi bukit di Kulon Progo dengan panorama alam yang cocok untuk bersantai.","bukit","CHANGED","PASS",""
45,kalibiru,"Kalibiru","Bukit","Kulon Progo","Wisata alam di Perbukitan Menoreh yang terkenal dengan gardu pandang dan spot foto dengan latar pemandangan Waduk Sermo dari ketinggian.","Kalibiru merupakan destinasi sungai di Kulon Progo dengan suasana alam yang cocok untuk rekreasi.","sungai","CHANGED","PASS",""
46,sungai-mudal,"Sungai Mudal","Lainnya","Kulon Progo","Wisata alam berupa pemandian dan aliran sungai jernih berwarna biru kehijauan di kawasan perbukitan yang cocok untuk bermain air dan bersantai.","Sungai Mudal merupakan destinasi sungai di Kulon Progo dengan suasana alam yang cocok untuk rekreasi.","sungai","CHANGED","PASS",""
47,puncak-suroloyo,"Puncak Suroloyo","Bukit","Kulon Progo","Puncak tertinggi di Perbukitan Menoreh yang menawarkan panorama luas hingga Candi Borobudur saat cuaca cerah.","Puncak Suroloyo merupakan destinasi bukit di Kulon Progo dengan panorama alam yang cocok untuk bersantai.","bukit","CHANGED","PASS",""
48,gunung-lanang,"Gunung Lanang","Bukit","Kulon Progo","Perbukitan di kawasan Menoreh yang menawarkan jalur trekking ringan dengan pemandangan alam hijau dan suasana yang tenang.","Gunung Lanang merupakan destinasi bukit di Kulon Progo dengan panorama alam yang cocok untuk bersantai.","bukit","CHANGED","PASS",""
49,waduk-sermo,"Waduk Sermo","Lainnya","Kulon Progo","Waduk terbesar di Kulon Progo yang menawarkan pemandangan perairan luas dikelilingi perbukitan Menoreh, cocok untuk rekreasi, memancing, dan menikmati suasana alam.","Waduk Sermo merupakan destinasi bendungan di Kulon Progo dengan suasana terbuka untuk kunjungan singkat.","bendungan","CHANGED","PASS",""
50,bukit-isis,"Bukit Isis","Bukit","Kulon Progo","Spot wisata di kawasan Nglinggo yang menawarkan pemandangan perbukitan Menoreh dan kebun teh dengan suasana sejuk, cocok untuk menikmati sunrise dan berfoto.","Bukit Isis merupakan destinasi bukit di Kulon Progo dengan panorama alam yang cocok untuk bersantai.","bukit","CHANGED","PASS",""
51,kebun-teh-nglinggo,"Kebun Teh Nglinggo","Lainnya","Kulon Progo","Kawasan agrowisata di Perbukitan Menoreh yang menyuguhkan hamparan kebun teh hijau luas dengan udara sejuk, cocok untuk berjalan santai dan menikmati panorama alam.","Kebun Teh Nglinggo merupakan destinasi wisata di Kulon Progo yang cocok untuk kunjungan singkat.","lainnya","CHANGED","PASS",""
52,goa-kiskendo,"Goa Kiskendo","Goa","Kulon Progo","Goa alam bersejarah di Perbukitan Menoreh yang memiliki stalaktit-stalagmit serta relief cerita Ramayana di area sekitarnya.","Goa Kiskendo merupakan destinasi goa di Kulon Progo dengan suasana petualangan alam yang khas.","goa","CHANGED","PASS",""
53,air-terjun-grojogan-sewu-jatimulyo,"Air Terjun Grojogan Sewu Jatimulyo","Air Terjun","Kulon Progo","Air terjun di kawasan Jatimulyo dengan aliran segar, tebing alami, dan suasana sejuk khas Perbukitan Menoreh.","Air Terjun Grojogan Sewu Jatimulyo merupakan destinasi air terjun di Kulon Progo dengan suasana alam yang segar.","air terjun","CHANGED","PASS",""
54,pantai-drini,"Pantai Drini","Pantai","Gunung Kidul","Pantai berpasir putih dengan pulau karang kecil, cocok untuk bermain air, berfoto, dan menikmati suasana pesisir Gunung Kidul.","Pantai Drini merupakan destinasi pantai di Gunung Kidul dengan panorama pesisir yang cocok untuk rekreasi.","pantai","CHANGED","PASS",""
55,pantai-indrayanti,"Pantai Indrayanti","Pantai","Gunung Kidul","Pantai populer dengan pasir putih, tebing karang, dan fasilitas wisata yang lengkap untuk rekreasi keluarga.","Pantai Indrayanti merupakan destinasi pantai di Gunung Kidul dengan panorama pesisir yang cocok untuk rekreasi.","pantai","CHANGED","PASS",""
56,pantai-pok-tunggal,"Pantai Pok Tunggal","Pantai","Gunung Kidul","Pantai pasir putih yang dikelilingi tebing dan pepohonan, dengan pohon ikonis yang populer untuk tempat foto.","Pantai Pok Tunggal merupakan destinasi pantai di Gunung Kidul dengan panorama pesisir yang cocok untuk rekreasi.","pantai","CHANGED","PASS",""
57,pantai-ngandong,"Pantai Ngandong","Pantai","Gunung Kidul","Pantai berpasir di teluk kecil populer untuk memancing, serta menghadap ke singkapan berbatu dan kafe simpel.","Pantai Ngandong merupakan destinasi pantai di Gunung Kidul dengan panorama pesisir yang cocok untuk rekreasi.","pantai","CHANGED","PASS",""
58,pantai-sadranan,"Pantai Sadranan","Pantai","Gunung Kidul","Pantai dengan perairan relatif tenang yang dikenal untuk snorkeling, bermain air, dan menikmati panorama karang.","Pantai Sadranan merupakan destinasi pantai di Gunung Kidul dengan panorama pesisir yang cocok untuk rekreasi.","pantai","CHANGED","PASS",""
59,pantai-jungwok,"Pantai Jungwok","Pantai","Gunung Kidul","Pesisir berangin kencang ini populer untuk olahraga air dan memancing lobster, plus naik perahu ke pulau karang.","Pantai Jungwok merupakan destinasi pantai di Gunung Kidul dengan panorama pesisir yang cocok untuk rekreasi.","pantai","CHANGED","PASS",""
60,pantai-slili,"Pantai Slili","Pantai","Gunung Kidul","Pantai berbatu dan berpasir kecil di teluk, dengan pondok, hidangan seafood dan penginapan di sekitar.","Pantai Slili merupakan destinasi pantai di Gunung Kidul dengan panorama pesisir yang cocok untuk rekreasi.","pantai","CHANGED","PASS",""
61,pantai-gesing,"Pantai Gesing","Pantai","Gunung Kidul","Pantai pasir putih di tepi tebing curam dengan air hijau cerah untuk berenang dan menyantap lobster dan sembilang.","Pantai Gesing merupakan destinasi pantai di Gunung Kidul dengan panorama pesisir yang cocok untuk rekreasi.","pantai","CHANGED","PASS",""
62,pantai-ngrenehan,"Pantai Ngrenehan","Pantai","Gunung Kidul","Pantai berpasir di teluk yang dihiasi perahu nelayan lokal dan dinaungi oleh tanjung batu kapur berwarna hijau.","Pantai Ngrenehan merupakan destinasi pantai di Gunung Kidul dengan panorama pesisir yang cocok untuk rekreasi.","pantai","CHANGED","PASS",""
63,pantai-watulawang,"Pantai Watulawang","Pantai","Gunung Kidul","Pantai berpasir putih dengan batu karang khas dan suasana lebih tenang, cocok untuk berfoto dan menikmati pesisir.","Pantai Watulawang merupakan destinasi pantai di Gunung Kidul dengan panorama pesisir yang cocok untuk rekreasi.","pantai","CHANGED","PASS",""
64,pantai-baron-indah,"Pantai Baron Indah","Pantai","Gunung Kidul","Pantai ikonik dengan teluk, aktivitas nelayan, kuliner seafood, dan pertemuan aliran sungai menuju laut.","Pantai Baron Indah merupakan destinasi pantai di Gunung Kidul dengan panorama pesisir yang cocok untuk rekreasi.","pantai","CHANGED","PASS",""
65,pantai-sedahan,"Pantai Sedahan","Pantai","Gunung Kidul","Pantai alami yang relatif sepi dengan pasir dan tebing karang, cocok untuk camping serta menikmati suasana tenang.","Pantai Sedahan merupakan destinasi pantai di Gunung Kidul dengan panorama pesisir yang cocok untuk rekreasi.","pantai","CHANGED","PASS",""
66,pantai-nguyahan,"Pantai Nguyahan","Pantai","Gunung Kidul","Pantai berpasir putih dekat kawasan Ngobaran, cocok untuk bermain air dan menikmati panorama pesisir.","Pantai Nguyahan merupakan destinasi pantai di Gunung Kidul dengan panorama pesisir yang cocok untuk rekreasi.","pantai","CHANGED","PASS",""
67,wisata-tanjung-kesirat,"Wisata Tanjung Kesirat","Pantai","Gunung Kidul","Hamparan rumput di tebing yang tidak rata dengan panorama matahari terbenam, populer untuk memancing dan kemah.","Wisata Tanjung Kesirat merupakan destinasi pantai di Gunung Kidul dengan panorama pesisir yang cocok untuk rekreasi.","pantai","CHANGED","PASS",""
68,pantai-ngetun,"Pantai Ngetun","Pantai","Gunung Kidul","Pantai kecil tersembunyi di antara bukit karst dengan pasir putih dan suasana yang tenang.","Pantai Ngetun merupakan destinasi pantai di Gunung Kidul dengan panorama pesisir yang cocok untuk rekreasi.","pantai","CHANGED","PASS",""
69,pantai-ngobaran,"Pantai Ngobaran","Pantai","Gunung Kidul","Pantai kecil di teluk bertebing rimbun, cocok untuk berenang, berjemur, dan menikmati kuliner sekitar.","Pantai Ngobaran merupakan destinasi pantai di Gunung Kidul dengan panorama pesisir yang cocok untuk rekreasi.","pantai","CHANGED","PASS",""
70,pantai-wediombo,"Pantai Wediombo","Pantai","Gunung Kidul","Pantai berpasir panjang dengan batu karang, air relatif tenang, dan pemandangan perbukitan hijau.","Pantai Wediombo merupakan destinasi pantai di Gunung Kidul dengan panorama pesisir yang cocok untuk rekreasi.","pantai","CHANGED","PASS",""
71,pantai-pandansimo,"Pantai Pandansimo","Pantai","Bantul","Destinasi wisata pantai yang menawarkan perpaduan unik antara pesona pesisir selatan yang eksotis dengan deretan pohon cemara udang yang rimbun dan asri","Pantai Pandansimo merupakan destinasi pantai di Bantul dengan panorama pesisir yang cocok untuk rekreasi.","pantai","CHANGED","PASS",""
72,pantai-baru,"Pantai Baru","Pantai","Bantul","Destinasi wisata pantai yang menawarkan perpaduan antara pesona ombak laut selatan yang megah dengan hamparan hutan cemara udang yang rimbun dan teduh di sepanjang bibir pantai.","Pantai Baru merupakan destinasi pantai di Bantul dengan panorama pesisir yang cocok untuk rekreasi.","pantai","CHANGED","PASS",""
73,pantai-kuwaru,"Pantai Kuwaru","Pantai","Bantul","""Destinasi wisata pantai (yang sering dikenal oleh wisatawan dengan nama Pantai Kuwaru) yang menawarkan daya tarik utama berupa """"payung hidup""""—sebutan untuk kanopi alami dari barisan pohon cemara udang yang tumbuh sangat rapat dan rimbun di sepanjang pesisir.""","Pantai Kuwaru merupakan destinasi pantai di Bantul dengan panorama pesisir yang cocok untuk rekreasi.","pantai","CHANGED","PASS",""
74,pantai-tanggul-tirto,"Pantai Tanggul Tirto","Pantai","Bantul","Destinasi wisata pesisir tersembunyi yang menawarkan perpaduan unik antara muara sungai (laguna) yang tenang dengan pemandangan terbuka ke arah Samudra Hindia.","Pantai Tanggul Tirto merupakan destinasi pantai di Bantul dengan panorama pesisir yang cocok untuk rekreasi.","pantai","CHANGED","PASS",""
75,pantai-cangkring,"Pantai Cangkring","Pantai","Bantul","""Destinasi wisata pesisir yang menawarkan pesona """"pantai tersembunyi"""" (hidden gem) yang masih sangat alami, asri, dan jauh dari hiruk-pikuk keramaian. ""","Pantai Cangkring merupakan destinasi pantai di Bantul dengan panorama pesisir yang cocok untuk rekreasi.","pantai","CHANGED","PASS",""
76,pantai-patihan,"Pantai Patihan","Pantai","Bantul","Destinasi wisata pesisir yang menawarkan pesona perpaduan antara wisata alam yang asri dengan konsep agrowisata yang produktif.","Pantai Patihan merupakan destinasi pantai di Bantul dengan panorama pesisir yang cocok untuk rekreasi.","pantai","CHANGED","PASS",""
77,pantai-pandansari,"Pantai Pandansari","Pantai","Bantul","Destinasi wisata pesisir yang menawarkan perpaduan luar biasa antara panorama laut selatan yang megah dengan keunikan infrastruktur navigasi laut.","Pantai Pandansari merupakan destinasi pantai di Bantul dengan panorama pesisir yang cocok untuk rekreasi.","pantai","CHANGED","PASS",""
78,pantai-dewaruci-bantul,"Pantai Dewaruci Bantul","Pantai","Bantul","Destinasi wisata pesisir yang menawarkan perpaduan luar biasa antara panorama laut selatan yang megah dengan keunikan infrastruktur navigasi laut.","Pantai Dewaruci Bantul merupakan destinasi pantai di Bantul dengan panorama pesisir yang cocok untuk rekreasi.","pantai","CHANGED","PASS",""
79,pantai-samas,"Pantai Samas","Pantai","Bantul","Destinasi wisata pesisir yang menawarkan perpaduan luar biasa antara panorama laut selatan yang megah dengan keunikan infrastruktur navigasi laut.","Pantai Samas merupakan destinasi pantai di Bantul dengan panorama pesisir yang cocok untuk rekreasi.","pantai","CHANGED","PASS",""
80,pantai-baros,"Pantai Baros","Pantai","Bantul","Destinasi wisata alam pesisir yang menawarkan perpaduan luar biasa antara pesona laut selatan dengan kawasan sabuk hijau yang rimbun dan edukatif.","Pantai Baros merupakan destinasi pantai di Bantul dengan panorama pesisir yang cocok untuk rekreasi.","pantai","CHANGED","PASS",""
81,hilir-sungai-opak,"Hilir Sungai Opak","Lainnya","Bantul","Destinasi wisata alam yang menawarkan perpaduan lanskap memukau antara ujung aliran sungai besar di Yogyakarta dengan hamparan Samudra Hindia yang luas.","Hilir Sungai Opak merupakan destinasi sungai di Bantul dengan suasana alam yang cocok untuk rekreasi.","sungai","CHANGED","PASS",""
82,pesona-pengklik-pantai-samas,"Pesona Pengklik-Pantai Samas","Pantai","Bantul","Destinasi wisata alam yang menawarkan perpaduan eksotis antara ketenangan muara sungai (laguna) yang luas dengan panorama pesisir selatan yang memukau.","Pesona Pengklik-Pantai Samas merupakan destinasi pantai di Bantul dengan panorama pesisir yang cocok untuk rekreasi.","pantai","CHANGED","PASS",""
83,kano-maritim-baros,"Kano Maritim Baros","Pantai","Bantul","Destinasi wisata petualangan air (sport tourism) yang menawarkan perpaduan seru antara olahraga dayung dengan penjelajahan ekosistem pesisir yang asri","Kano Maritim Baros merupakan destinasi pantai di Bantul dengan panorama pesisir yang cocok untuk rekreasi.","pantai","CHANGED","PASS",""
84,pantai-pelangi,"Pantai Pelangi","Pantai","Bantul","Pantai pemekaran dari kawasan Parangtritis di Desa Parangtritis, Kecamatan Kretek, Bantul. Berpasir hitam dengan ombak besar khas laut selatan.","Pantai Pelangi merupakan destinasi pantai di Bantul dengan panorama pesisir yang cocok untuk rekreasi.","pantai","CHANGED","PASS",""
85,parangtritis,"Parangtritis","Pantai","Bantul","Tempat ini menjadi spot favorit bagi para pencinta petualangan, pasangan, maupun fotografer yang ingin berburu foto-foto estetik nan anti-mainstream langsung dari atas air, terutama saat siluet pepohonan mangrove berpadu dengan langit sore.","Parangtritis merupakan destinasi pantai di Bantul dengan panorama pesisir yang cocok untuk rekreasi.","pantai","CHANGED","PASS",""
86,parangkusumo,"Parangkusumo","Pantai","Bantul","Destinasi wisata pesisir keramat yang menawarkan perpaduan mendalam antara pesona alam laut selatan dengan pusat spiritualitas dan sejarah Kesultanan Yogyakarta.","Parangkusumo merupakan destinasi pantai di Bantul dengan panorama pesisir yang cocok untuk rekreasi.","pantai","CHANGED","PASS",""
