No,id,nama_wisata,kategori,kabupaten,before,after,placeType,sourceUsed,QC,reason
"19","sendang-ngembel","Sendang Ngembel","Air Terjun","Bantul","Sendang Ngembel menyajikan aliran air alami, tebing, dan suasana sejuk yang cocok untuk rekreasi alam.","Sendang Ngembel menyajikan aliran air alami, tebing, dan suasana sejuk yang cocok untuk rekreasi alam.","air terjun","original","PASS",""
"20","curug-banyunibo","Curug Banyunibo","Air Terjun","Bantul","Curug Banyunibo menyajikan aliran air alami, tebing, dan suasana sejuk yang cocok untuk rekreasi alam.","Curug Banyunibo menyajikan aliran air alami, tebing, dan suasana sejuk yang cocok untuk rekreasi alam.","air terjun","original","PASS",""
"21","goa-selarong","Goa Selarong","Air Terjun","Bantul","Goa Selarong merupakan wisata goa dengan karakter karst, lorong alami, dan pengalaman petualangan yang menarik.","Goa Selarong merupakan wisata goa dengan karakter karst, lorong alami, dan pengalaman petualangan yang menarik.","goa","original","PASS",""
"22","kedung-pengilon","Kedung Pengilon","Air Terjun","Bantul","Kedung Pengilon menyajikan aliran air alami, tebing, dan suasana sejuk yang cocok untuk rekreasi alam.","Kedung Pengilon menyajikan aliran air alami, tebing, dan suasana sejuk yang cocok untuk rekreasi alam.","air terjun","original","PASS",""
"23","putrobayan-river-camp","Putrobayan River Camp","Lainnya","Bantul","Putrobayan River Camp menawarkan suasana wisata air dengan aliran alami, pepohonan, dan ruang rekreasi yang cocok untuk bersantai.","Putrobayan River Camp merupakan destinasi sungai di Bantul dengan aliran alami, lanskap terbuka, dan suasana rekreasi yang santai.","sungai","fallback","PASS",""
"24","lembah-oyo-kedung-jati","Lembah Oyo, Kedung Jati","Lainnya","Bantul","Lembah Oyo, Kedung Jati menawarkan suasana wisata air dengan aliran alami, pepohonan, dan ruang rekreasi yang cocok untuk bersantai.","Lembah Oyo, Kedung Jati merupakan destinasi lembah di Bantul dengan panorama alam, tebing terbuka, dan suasana rekreasi yang tenang.","lembah","fallback","PASS",""
"25","kebun-buah-mangunan","Kebun Buah Mangunan","Bukit","Bantul","Kebun Buah Mangunan menawarkan panorama perbukitan, udara sejuk, dan spot foto alam dari ketinggian.","Kebun Buah Mangunan menawarkan panorama perbukitan, udara sejuk, dan spot foto alam dari ketinggian.","bukit","original","PASS",""
"26","laguna-baros","Laguna Baros","Pantai","Bantul","Laguna Baros menawarkan panorama pesisir dengan pasir, karang, dan suasana alam khas pantai selatan Yogyakarta.","Laguna Baros menawarkan panorama pesisir dengan pasir, karang, dan suasana alam khas pantai selatan Yogyakarta.","pantai","original","PASS",""
"27","bukit-lintang-sewu","Bukit Lintang Sewu","Bukit","Bantul","Bukit Lintang Sewu menawarkan panorama perbukitan, udara sejuk, dan spot foto alam dari ketinggian.","Bukit Lintang Sewu menawarkan panorama perbukitan, udara sejuk, dan spot foto alam dari ketinggian.","bukit","original","PASS",""
"28","goa-pindul","Goa Pindul","Goa","Gunung Kidul","Goa Pindul adalah gua yang eksotik dengan aliran sungai bawah tanah di Gunungkidul.","Goa Pindul adalah gua yang eksotik dengan aliran sungai bawah tanah di Gunungkidul.","goa","original","PASS",""
"29","gunung-api-purba-nglanggeran","Gunung Api Purba Nglanggeran","Bukit","Gunung Kidul","Gunung ini merupakan sebuah gunung api purba yang terbentuk sekitar 60-70 juta tahun yang lalu atau yang memiliki umur tersier (Oligo-Miosen).","Gunung Api Purba Nglanggeran merupakan destinasi bukit di Gunung Kidul dengan panorama alam luas, udara terbuka, dan spot pandang yang menarik.","bukit","fallback","PASS",""
"30","kalisuci-cave-tubing","Kalisuci Cave Tubing","Goa","Gunung Kidul","Petualangan menyusuri sungai bawah tanah di dalam gua menggunakan ban pelampung.","Petualangan menyusuri sungai bawah tanah di dalam gua menggunakan ban pelampung.","sungai","original","PASS",""
"31","air-terjun-sri-gethuk","Air Terjun Sri Gethuk","Air Terjun","Gunung Kidul","Air terjun alami yang indah di tengah hutan dan tebing kapur ini merupakan tempat populer untuk berenang.","Air terjun alami yang indah di tengah hutan dan tebing kapur ini merupakan tempat populer untuk berenang.","air terjun","original","PASS",""
"32","air-terjun-kedung-kandang","Air Terjun Kedung Kandang","Air Terjun","Gunung Kidul","Alam berupa air terjun musiman dengan undakan tebing vulkanik yang terletak di Desa Nglanggeran, Patuk, Gunungkidul, Yogyakarta.","Alam berupa air terjun musiman dengan undakan tebing vulkanik yang terletak di Desa Nglanggeran, Patuk, Gunungkidul, Yogyakarta.","air terjun","original","PASS",""
"33","puncak-tugu-batara-sriten","Puncak Tugu Batara Sriten","Bukit","Gunung Kidul","Lokasi ini terkenal dengan embung buatan (telaga) tertinggi di DIY, pemandangan matahari terbit/terbenam, serta menjadi landasan olahraga paralayang.","Lokasi ini terkenal dengan embung buatan (telaga) tertinggi di DIY, pemandangan matahari terbit/terbenam, serta menjadi landasan olahraga paralayang.","bukit","original","PASS",""
"34","goa-tanding","Goa Tanding","Goa","Gunung Kidul","Gua yang terkenal dengan formasi bebatuan yang memukau, dengan wahana arung jeram di sungai bawah tanah.","Gua yang terkenal dengan formasi bebatuan yang memukau, dengan wahana arung jeram di sungai bawah tanah.","goa","original","PASS",""
"35","goa-jomblang","Goa Jomblang","Goa","Gunung Kidul","Gua pembuangan vertikal berbatu yang bisa dieksplorasi menggunakan peralatan caving yang disediakan di lokasi.","Gua pembuangan vertikal berbatu yang bisa dieksplorasi menggunakan peralatan caving yang disediakan di lokasi.","goa","original","PASS",""
"36","bukit-paralayang-watugupit","Bukit Paralayang Watugupit","Bukit","Gunung Kidul","Tempat observasi di puncak bukit yang menghadap Samudera Hindia dan pantai dan titik lepas landas paralayang.","Tempat observasi di puncak bukit yang menghadap Samudera Hindia dan pantai dan titik lepas landas paralayang.","bukit","original","PASS",""
"37","bukit-bintang","Bukit Bintang","Bukit","Gunung Kidul","Bukit yang terkenal dengan pemandangan indah, terutama saat langit malam dipenuhi bintang.","Bukit yang terkenal dengan pemandangan indah, terutama saat langit malam dipenuhi bintang.","bukit","original","PASS",""
"38","goa-gelatik-lorong-sewu","Goa Gelatik Lorong Sewu","Goa","Gunung Kidul","Goa ini terkenal dengan lorongnya yang ekstrem, gelap, memiliki banyak percabangan (lorong sewu), serta keindahan stalaktit dan stalakmit yang masih alami.","Goa ini terkenal dengan lorongnya yang ekstrem, gelap, memiliki banyak percabangan (lorong sewu), serta keindahan stalaktit dan stalakmit yang masih alami.","goa","original","PASS",""
"39","gunung-gentong","Gunung Gentong","Bukit","Gunung Kidul","""Bukit wisata alam di Desa Ngalang, Gedangsari, Gunungkidul, Yogyakarta, yang terkenal dengan pemandangan """"negeri di atas awan"""", hamparan perbukitan hijau.""","""Bukit wisata alam di Desa Ngalang, Gedangsari, Gunungkidul, Yogyakarta, yang terkenal dengan pemandangan """"negeri di atas awan"""", hamparan perbukitan hijau."".","bukit","original","PASS",""
"40","bukit-kosakora","Bukit Kosakora","Bukit","Gunung Kidul","Tanjung pesisir dan tempat matahari terbenam populer yang menawarkan kemah pedesaan, jalan setapak dan panorama.","Bukit Kosakora merupakan destinasi bukit di Gunung Kidul dengan panorama alam luas, udara terbuka, dan spot pandang yang menarik.","bukit","fallback","PASS",""
"41","goa-ngingrong","Goa Ngingrong","Goa","Gunung Kidul","Karst berbentuk lembah sinkhole (luweng) yang menawarkan petualangan susur gua, rappelling setinggi 80 meter, flying fox, dan ATV.","Karst berbentuk lembah sinkhole (luweng) yang menawarkan petualangan susur gua, rappelling setinggi 80 meter, flying fox, dan ATV.","goa","original","PASS",""
"42","bukit-teletubbies","Bukit Teletubbies","Bukit","Gunung Kidul","Tempat ini menawarkan pemandangan ladang jagung menawan yang menyerupai latar tempat tinggal tokoh kartun Teletubbies, menjadikannya spot foto instagramable yang populer.","Tempat ini menawarkan pemandangan ladang jagung menawan yang menyerupai latar tempat tinggal tokoh kartun Teletubbies, menjadikannya spot foto instagramable yang populer.","bukit","original","PASS",""
"43","goa-sriti","Goa Sriti","Goa","Kulon Progo","Goa alami di Perbukitan Menoreh yang masih sepi, memiliki lorong sempit dengan stalaktit-stalagmit, dan cocok untuk wisata petualangan sederhana.","Goa alami di Perbukitan Menoreh yang masih sepi, memiliki lorong sempit dengan stalaktit-stalagmit, dan cocok untuk wisata petualangan sederhana.","goa","original","PASS",""
"44","gunung-ijo","Gunung Ijo","Bukit","Kulon Progo","Perbukitan di kawasan Menoreh yang menawarkan panorama alam hijau dengan pemandangan luas, cocok untuk menikmati sunrise dan suasana tenang.","Perbukitan di kawasan Menoreh yang menawarkan panorama alam hijau dengan pemandangan luas, cocok untuk menikmati sunrise dan suasana tenang.","bukit","original","PASS",""
"45","kalibiru","Kalibiru","Bukit","Kulon Progo","Wisata alam di Perbukitan Menoreh yang terkenal dengan gardu pandang dan spot foto dengan latar pemandangan Waduk Sermo dari ketinggian.","Wisata alam di Perbukitan Menoreh yang terkenal dengan gardu pandang dan spot foto dengan latar pemandangan Waduk Sermo dari ketinggian.","sungai","original","PASS",""
"46","sungai-mudal","Sungai Mudal","Lainnya","Kulon Progo","Wisata alam berupa pemandian dan aliran sungai jernih berwarna biru kehijauan di kawasan perbukitan yang cocok untuk bermain air dan bersantai.","Wisata alam berupa pemandian dan aliran sungai jernih berwarna biru kehijauan di kawasan perbukitan yang cocok untuk bermain air dan bersantai.","sungai","original","PASS",""
"47","puncak-suroloyo","Puncak Suroloyo","Bukit","Kulon Progo","Puncak tertinggi di Perbukitan Menoreh yang menawarkan panorama luas hingga Candi Borobudur saat cuaca cerah.","Puncak tertinggi di Perbukitan Menoreh yang menawarkan panorama luas hingga Candi Borobudur saat cuaca cerah.","bukit","original","PASS",""
"48","gunung-lanang","Gunung Lanang","Bukit","Kulon Progo","Perbukitan di kawasan Menoreh yang menawarkan jalur trekking ringan dengan pemandangan alam hijau dan suasana yang tenang.","Perbukitan di kawasan Menoreh yang menawarkan jalur trekking ringan dengan pemandangan alam hijau dan suasana yang tenang.","bukit","original","PASS",""
"49","waduk-sermo","Waduk Sermo","Lainnya","Kulon Progo","Waduk terbesar di Kulon Progo yang menawarkan pemandangan perairan luas dikelilingi perbukitan Menoreh, cocok untuk rekreasi, memancing, dan menikmati suasana alam.","Waduk terbesar di Kulon Progo yang menawarkan pemandangan perairan luas dikelilingi perbukitan Menoreh, cocok untuk rekreasi, memancing, dan menikmati suasana alam.","bendungan","original","PASS",""
"50","bukit-isis","Bukit Isis","Bukit","Kulon Progo","Spot wisata di kawasan Nglinggo yang menawarkan pemandangan perbukitan Menoreh dan kebun teh dengan suasana sejuk, cocok untuk menikmati sunrise dan berfoto.","Spot wisata di kawasan Nglinggo dengan pemandangan perbukitan Menoreh.","bukit","original","PASS",""
"51","kebun-teh-nglinggo","Kebun Teh Nglinggo","Lainnya","Kulon Progo","Kawasan agrowisata di Perbukitan Menoreh yang menyuguhkan hamparan kebun teh hijau luas dengan udara sejuk, cocok untuk berjalan santai dan menikmati panorama alam.","Kawasan agrowisata di Perbukitan Menoreh dengan hamparan kebun teh hijau.","lainnya","original","PASS",""
"52","goa-kiskendo","Goa Kiskendo","Goa","Kulon Progo","Goa alam bersejarah di Perbukitan Menoreh yang memiliki stalaktit-stalagmit serta relief cerita Ramayana di area sekitarnya.","Goa alam bersejarah di Perbukitan Menoreh yang memiliki stalaktit-stalagmit serta relief cerita Ramayana di area sekitarnya.","goa","original","PASS",""
"53","air-terjun-grojogan-sewu-jatimulyo","Air Terjun Grojogan Sewu Jatimulyo","Air Terjun","Kulon Progo","Air terjun di kawasan Jatimulyo dengan aliran segar, tebing alami, dan suasana sejuk khas Perbukitan Menoreh.","Air terjun di kawasan Jatimulyo dengan aliran segar, tebing alami, dan suasana sejuk khas Perbukitan Menoreh.","air terjun","original","PASS",""
"54","pantai-drini","Pantai Drini","Pantai","Gunung Kidul","Pantai berpasir putih dengan pulau karang kecil, cocok untuk bermain air, berfoto, dan menikmati suasana pesisir Gunung Kidul.","Pantai berpasir putih dengan pulau karang kecil, cocok untuk bermain air, berfoto, dan menikmati suasana pesisir Gunung Kidul.","pantai","original","PASS",""
"55","pantai-indrayanti","Pantai Indrayanti","Pantai","Gunung Kidul","Pantai populer dengan pasir putih, tebing karang, dan fasilitas wisata yang lengkap untuk rekreasi keluarga.","Pantai populer dengan pasir putih, tebing karang, dan fasilitas wisata yang lengkap untuk rekreasi keluarga.","pantai","original","PASS",""
"56","pantai-pok-tunggal","Pantai Pok Tunggal","Pantai","Gunung Kidul","Pantai pasir putih yang dikelilingi tebing dan pepohonan, dengan pohon ikonis yang populer untuk tempat foto.","Pantai pasir putih yang dikelilingi tebing dan pepohonan, dengan pohon ikonis yang populer untuk tempat foto.","pantai","original","PASS",""
"57","pantai-ngandong","Pantai Ngandong","Pantai","Gunung Kidul","Pantai berpasir di teluk kecil populer untuk memancing, serta menghadap ke singkapan berbatu dan kafe simpel.","Pantai berpasir di teluk kecil populer untuk memancing, serta menghadap ke singkapan berbatu dan kafe simpel.","pantai","original","PASS",""
"58","pantai-sadranan","Pantai Sadranan","Pantai","Gunung Kidul","Pantai dengan perairan relatif tenang yang dikenal untuk snorkeling, bermain air, dan menikmati panorama karang.","Pantai dengan perairan relatif tenang yang dikenal untuk snorkeling, bermain air, dan menikmati panorama karang.","pantai","original","PASS",""
"59","pantai-jungwok","Pantai Jungwok","Pantai","Gunung Kidul","Pesisir berangin kencang ini populer untuk olahraga air dan memancing lobster, plus naik perahu ke pulau karang.","Pesisir berangin kencang ini populer untuk olahraga air dan memancing lobster, plus naik perahu ke pulau karang.","pantai","original","PASS",""
"60","pantai-slili","Pantai Slili","Pantai","Gunung Kidul","Pantai berbatu dan berpasir kecil di teluk, dengan pondok, hidangan seafood dan penginapan di sekitar.","Pantai berbatu dan berpasir kecil di teluk, dengan pondok, hidangan seafood dan penginapan di sekitar.","pantai","original","PASS",""
"61","pantai-gesing","Pantai Gesing","Pantai","Gunung Kidul","Pantai pasir putih di tepi tebing curam dengan air hijau cerah untuk berenang dan menyantap lobster dan sembilang.","Pantai pasir putih di tepi tebing curam dengan air hijau cerah untuk berenang dan menyantap lobster dan sembilang.","pantai","original","PASS",""
"62","pantai-ngrenehan","Pantai Ngrenehan","Pantai","Gunung Kidul","Pantai berpasir di teluk yang dihiasi perahu nelayan lokal dan dinaungi oleh tanjung batu kapur berwarna hijau.","Pantai berpasir di teluk yang dihiasi perahu nelayan lokal dan dinaungi oleh tanjung batu kapur berwarna hijau.","pantai","original","PASS",""
"63","pantai-watulawang","Pantai Watulawang","Pantai","Gunung Kidul","Pantai berpasir putih dengan batu karang khas dan suasana lebih tenang, cocok untuk berfoto dan menikmati pesisir.","Pantai berpasir putih dengan batu karang khas dan suasana lebih tenang, cocok untuk berfoto dan menikmati pesisir.","pantai","original","PASS",""
"64","pantai-baron-indah","Pantai Baron Indah","Pantai","Gunung Kidul","Pantai ikonik dengan teluk, aktivitas nelayan, kuliner seafood, dan pertemuan aliran sungai menuju laut.","Pantai ikonik dengan teluk, aktivitas nelayan, kuliner seafood, dan pertemuan aliran sungai menuju laut.","pantai","original","PASS",""
"65","pantai-sedahan","Pantai Sedahan","Pantai","Gunung Kidul","Pantai alami yang relatif sepi dengan pasir dan tebing karang, cocok untuk camping serta menikmati suasana tenang.","Pantai alami yang relatif sepi dengan pasir dan tebing karang, cocok untuk camping serta menikmati suasana tenang.","pantai","original","PASS",""
"66","pantai-nguyahan","Pantai Nguyahan","Pantai","Gunung Kidul","Pantai berpasir putih dekat kawasan Ngobaran, cocok untuk bermain air dan menikmati panorama pesisir.","Pantai berpasir putih dekat kawasan Ngobaran, cocok untuk bermain air dan menikmati panorama pesisir.","pantai","original","PASS",""
"67","wisata-tanjung-kesirat","Wisata Tanjung Kesirat","Pantai","Gunung Kidul","Hamparan rumput di tebing yang tidak rata dengan panorama matahari terbenam, populer untuk memancing dan kemah.","Hamparan rumput di tebing yang tidak rata dengan panorama matahari terbenam, populer untuk memancing dan kemah.","pantai","original","PASS",""
"68","pantai-ngetun","Pantai Ngetun","Pantai","Gunung Kidul","Pantai kecil tersembunyi di antara bukit karst dengan pasir putih dan suasana yang tenang.","Pantai kecil tersembunyi di antara bukit karst dengan pasir putih dan suasana yang tenang.","pantai","original","PASS",""
"69","pantai-ngobaran","Pantai Ngobaran","Pantai","Gunung Kidul","Pantai kecil di teluk bertebing rimbun, cocok untuk berenang, berjemur, dan menikmati kuliner sekitar.","Pantai kecil di teluk bertebing rimbun, cocok untuk berenang, berjemur, dan menikmati kuliner sekitar.","pantai","original","PASS",""
"70","pantai-wediombo","Pantai Wediombo","Pantai","Gunung Kidul","Pantai berpasir panjang dengan batu karang, air relatif tenang, dan pemandangan perbukitan hijau.","Pantai berpasir panjang dengan batu karang, air relatif tenang, dan pemandangan perbukitan hijau.","pantai","original","PASS",""
"71","pantai-pandansimo","Pantai Pandansimo","Pantai","Bantul","Destinasi wisata pantai yang menawarkan perpaduan unik antara pesona pesisir selatan yang eksotis dengan deretan pohon cemara udang yang rimbun dan asri","Destinasi wisata pantai yang menawarkan perpaduan unik antara pesona pesisir selatan yang eksotis dengan deretan pohon cemara udang yang rimbun dan asri.","pantai","original","PASS",""
"72","pantai-baru","Pantai Baru","Pantai","Bantul","Destinasi wisata pantai yang menawarkan perpaduan antara pesona ombak laut selatan yang megah dengan hamparan hutan cemara udang yang rimbun dan teduh di sepanjang bibir pantai.","Destinasi wisata pantai yang menawarkan perpaduan antara pesona ombak laut selatan yang megah dengan hamparan hutan cemara udang yang rimbun dan teduh di sepanjang bibir.","pantai","original","PASS",""
"73","pantai-kuwaru","Pantai Kuwaru","Pantai","Bantul","""Destinasi wisata pantai (yang sering dikenal oleh wisatawan dengan nama Pantai Kuwaru) yang menawarkan daya tarik utama berupa """"payung hidup""""—sebutan untuk kanopi alami dari barisan pohon cemara udang yang tumbuh sangat rapat dan rimbun di sepanjang pesisir.""","""Destinasi wisata pantai (yang sering dikenal oleh wisatawan dengan nama Pantai Kuwaru) yang menawarkan daya tarik utama berupa """"payung hidup""""—sebutan untuk kanopi.","pantai","original","PASS",""
"74","pantai-tanggul-tirto","Pantai Tanggul Tirto","Pantai","Bantul","Destinasi wisata pesisir tersembunyi yang menawarkan perpaduan unik antara muara sungai (laguna) yang tenang dengan pemandangan terbuka ke arah Samudra Hindia.","Destinasi wisata pesisir tersembunyi yang menawarkan perpaduan unik antara muara sungai (laguna) yang tenang dengan pemandangan terbuka ke arah Samudra Hindia.","pantai","original","PASS",""
"75","pantai-cangkring","Pantai Cangkring","Pantai","Bantul","""Destinasi wisata pesisir yang menawarkan pesona """"pantai tersembunyi"""" (hidden gem) yang masih sangat alami, asri, dan jauh dari hiruk-pikuk keramaian. ""","""Destinasi wisata pesisir yang menawarkan pesona """"pantai tersembunyi"""" (hidden gem) yang masih sangat alami, asri, dan jauh dari hiruk-pikuk keramaian.","pantai","original","PASS",""
"76","pantai-patihan","Pantai Patihan","Pantai","Bantul","Destinasi wisata pesisir yang menawarkan pesona perpaduan antara wisata alam yang asri dengan konsep agrowisata yang produktif.","Destinasi wisata pesisir yang menawarkan pesona perpaduan antara wisata alam yang asri dengan konsep agrowisata yang produktif.","pantai","original","PASS",""
"77","pantai-pandansari","Pantai Pandansari","Pantai","Bantul","Destinasi wisata pesisir yang menawarkan perpaduan luar biasa antara panorama laut selatan yang megah dengan keunikan infrastruktur navigasi laut.","Destinasi wisata pesisir yang menawarkan perpaduan luar biasa antara panorama laut selatan yang megah dengan keunikan infrastruktur navigasi laut.","pantai","original","PASS",""
"78","pantai-dewaruci-bantul","Pantai Dewaruci Bantul","Pantai","Bantul","Destinasi wisata pesisir yang menawarkan perpaduan luar biasa antara panorama laut selatan yang megah dengan keunikan infrastruktur navigasi laut.","Destinasi wisata pesisir yang menawarkan perpaduan luar biasa antara panorama laut selatan yang megah dengan keunikan infrastruktur navigasi laut.","pantai","original","PASS",""
"79","pantai-samas","Pantai Samas","Pantai","Bantul","Destinasi wisata pesisir yang menawarkan perpaduan luar biasa antara panorama laut selatan yang megah dengan keunikan infrastruktur navigasi laut.","Destinasi wisata pesisir yang menawarkan perpaduan luar biasa antara panorama laut selatan yang megah dengan keunikan infrastruktur navigasi laut.","pantai","original","PASS",""
"80","pantai-baros","Pantai Baros","Pantai","Bantul","Destinasi wisata alam pesisir yang menawarkan perpaduan luar biasa antara pesona laut selatan dengan kawasan sabuk hijau yang rimbun dan edukatif.","Destinasi wisata alam pesisir yang menawarkan perpaduan luar biasa antara pesona laut selatan dengan kawasan sabuk hijau yang rimbun dan edukatif.","pantai","original","PASS",""
"81","hilir-sungai-opak","Hilir Sungai Opak","Lainnya","Bantul","Destinasi wisata alam yang menawarkan perpaduan lanskap memukau antara ujung aliran sungai besar di Yogyakarta dengan hamparan Samudra Hindia yang luas.","Destinasi wisata alam yang menawarkan perpaduan lanskap memukau antara ujung aliran sungai besar di Yogyakarta dengan hamparan Samudra Hindia yang luas.","sungai","original","PASS",""
"82","pesona-pengklik-pantai-samas","Pesona Pengklik-Pantai Samas","Pantai","Bantul","Destinasi wisata alam yang menawarkan perpaduan eksotis antara ketenangan muara sungai (laguna) yang luas dengan panorama pesisir selatan yang memukau.","Destinasi wisata alam yang menawarkan perpaduan eksotis antara ketenangan muara sungai (laguna) yang luas dengan panorama pesisir selatan yang memukau.","pantai","original","PASS",""
"83","kano-maritim-baros","Kano Maritim Baros","Pantai","Bantul","Destinasi wisata petualangan air (sport tourism) yang menawarkan perpaduan seru antara olahraga dayung dengan penjelajahan ekosistem pesisir yang asri","Destinasi wisata petualangan air (sport tourism) yang menawarkan perpaduan seru antara olahraga dayung dengan penjelajahan ekosistem pesisir yang asri.","pantai","original","PASS",""
"84","pantai-pelangi","Pantai Pelangi","Pantai","Bantul","Pantai pemekaran dari kawasan Parangtritis di Desa Parangtritis, Kecamatan Kretek, Bantul. Berpasir hitam dengan ombak besar khas laut selatan.","Pantai pemekaran dari kawasan Parangtritis di Desa Parangtritis, Kecamatan Kretek, Bantul.","pantai","original","PASS",""
